candle_idx,timestamp,sweep_type,bias,swing_price,close_price,rsi,regime,entry_price,exit_price,mfe_pct,mae_pct,outcome
1516,2024-08-25 00:00:00+00:00,HIGH,BEARISH,64529.78,64125.52,82.30040343085739,TRENDING_UP,64125.52,63864.68,1.3497278462615148,1.4417972750942292,CORRECT
1538,2024-08-28 16:00:00+00:00,LOW,BULLISH,58025.49,58904.42,22.93279609204987,RANGING,58904.42,59027.86,3.8870937019666747,0.4525297082969286,CORRECT
1561,2024-09-01 12:00:00+00:00,LOW,BULLISH,57700.0,58213.38,36.46118192352256,TRENDING_DOWN,58213.38,59139.83,2.077907175292008,1.8799286349632942,CORRECT
1587,2024-09-05 20:00:00+00:00,LOW,BULLISH,56149.15,56156.82,37.06096219942846,TRENDING_DOWN,56156.82,54276.75,1.4925702701826784,6.458378519296498,WRONG
1589,2024-09-06 04:00:00+00:00,LOW,BULLISH,55555.0,55774.13,36.49949732891258,TRENDING_DOWN,55774.13,54781.84,2.1889539110695275,5.81654971579117,WRONG
1604,2024-09-08 16:00:00+00:00,LOW,BULLISH,53814.5,54338.78,37.59367269181456,TRENDING_DOWN,54338.78,56526.71,6.958547836370273,0.29216703061791605,CORRECT
1651,2024-09-16 12:00:00+00:00,LOW,BULLISH,57740.09,57863.49,25.49846438325588,RANGING,57863.49,60312.6,6.0658629474302455,0.6679341325592321,CORRECT
1652,2024-09-16 16:00:00+00:00,LOW,BULLISH,57630.01,57936.06,29.304618219509322,RANGING,57936.06,60509.96,5.9330061450502605,0.6007657407148461,CORRECT
1655,2024-09-17 04:00:00+00:00,LOW,BULLISH,58104.92,58693.5,36.73154428586662,RANGING,58693.5,59427.16,4.56594001039298,0.09992588617138431,CORRECT
1687,2024-09-22 12:00:00+00:00,LOW,BULLISH,62618.43,62655.58,33.002912588350426,RANGING,62655.58,63338.87,3.326263997556158,0.43895531730773035,CORRECT
1737,2024-09-30 20:00:00+00:00,LOW,BULLISH,63241.66,63301.25,18.954011759914465,RANGING,63301.25,61709.08,1.2724867202464407,4.9767737603917785,WRONG
1748,2024-10-02 16:00:00+00:00,LOW,BULLISH,60150.89,60164.4,28.424335019490655,TRENDING_DOWN,60164.4,60948.54,2.178231645291895,0.5643370498168333,CORRECT
1753,2024-10-03 12:00:00+00:00,LOW,BULLISH,59969.2,60621.4,31.74888276378816,TRENDING_DOWN,60621.4,62090.71,3.0675635996529254,1.1722428053459746,CORRECT
1788,2024-10-09 08:00:00+00:00,LOW,BULLISH,62113.28,62149.18,34.3097669450558,RANGING,62149.18,59670.0,0.3488541602640577,5.286119623782645,WRONG
1797,2024-10-10 20:00:00+00:00,LOW,BULLISH,60255.0,60279.53,30.56499550156562,RANGING,60279.53,62740.57,5.204370372496266,0.41398796573230684,CORRECT
1830,2024-10-16 08:00:00+00:00,HIGH,BEARISH,67944.76,67880.2,81.55717676626651,TRENDING_UP,67880.2,66825.0,1.8418183800283383,0.6184424913303186,CORRECT
1864,2024-10-22 00:00:00+00:00,LOW,BULLISH,66802.0,67356.9,39.61101000909905,RANGING,67356.9,66366.78,0.6578390632585613,1.80336387214968,WRONG
1875,2024-10-23 20:00:00+00:00,LOW,BULLISH,66535.0,66601.11,37.76375019402901,RANGING,66601.11,67502.8,3.3015816102764646,0.23391502033523703,CORRECT
1928,2024-11-01 16:00:00+00:00,LOW,BULLISH,68750.37,69211.34,27.024931577502585,RANGING,69211.34,68355.74,0.9833359677763813,1.991494457411165,WRONG
1939,2024-11-03 12:00:00+00:00,LOW,BULLISH,67833.0,68054.57,35.65139505350449,RANGING,68054.57,67807.48,2.056246920669685,1.8673250010983873,WRONG
1946,2024-11-04 16:00:00+00:00,LOW,BULLISH,67444.0,67799.08,29.369814119501243,TRENDING_DOWN,67799.08,74349.49,10.620970078060052,1.4975276950660654,CORRECT
2079,2024-11-26 20:00:00+00:00,LOW,BULLISH,91420.12,91929.54,34.720250887764294,RANGING,91929.54,95355.25,5.935545853922476,0.19806473523090318,CORRECT
