candle_idx,timestamp,sweep_type,bias,swing_price,sweep_price,close_price,rsi,rsi_extreme,entry_price,exit_price,mfe_pct,mae_pct,net_move_pct,outcome,regime
2362,2025-01-13 00:00:00+00:00,HIGH,BEARISH,95862.92,95900.0,94222.08,37.025644618833915,False,94222.08,96504.22,5.512,3.323,-2.422,WRONG,TRENDING_DOWN
2366,2025-01-13 16:00:00+00:00,LOW,BULLISH,92209.25,91173.01,92253.2,34.96256972813802,False,92253.2,97287.67,5.708,0.433,5.457,CORRECT,TRENDING_DOWN
2367,2025-01-13 20:00:00+00:00,LOW,BULLISH,93670.3,91853.89,94506.45,50.649118140524585,False,94506.45,97262.16,3.386,0.206,2.916,CORRECT,RANGING
2369,2025-01-14 04:00:00+00:00,HIGH,BEARISH,95383.84,95476.75,94828.02,51.37710178195923,False,94828.02,98981.81,0.01,5.243,-4.38,WRONG,RANGING
2374,2025-01-15 00:00:00+00:00,HIGH,BEARISH,97353.29,97519.28,97287.67,62.698058131126274,False,97287.67,99141.92,0.912,3.692,-1.906,WRONG,RANGING
2383,2025-01-16 12:00:00+00:00,LOW,BULLISH,99137.67,97277.58,99270.6,74.2681184120825,False,99270.6,104107.0,6.749,0.221,4.872,CORRECT,TRENDING_UP
2398,2025-01-19 00:00:00+00:00,HIGH,BEARISH,104933.15,105326.31,104853.64,68.46839519288231,False,104853.64,108103.56,5.186,4.296,-3.099,WRONG,TRENDING_UP
2403,2025-01-19 20:00:00+00:00,HIGH,BEARISH,102085.0,106314.44,101211.13,40.64694457876924,False,101211.13,101852.09,1.773,8.049,-0.633,WRONG,RANGING
2405,2025-01-20 04:00:00+00:00,LOW,BULLISH,102233.45,101427.83,106965.39,58.27619254433587,False,106965.39,103854.59,1.955,6.464,-2.908,WRONG,HIGH_VOL
2407,2025-01-20 12:00:00+00:00,HIGH,BEARISH,105970.0,108563.64,104825.27,55.03337108101669,False,104825.27,106159.26,4.555,2.352,-1.273,WRONG,HIGH_VOL
2408,2025-01-20 16:00:00+00:00,HIGH,BEARISH,105500.0,106900.05,103579.18,50.09744119096599,False,103579.18,105617.78,3.406,3.584,-1.968,WRONG,HIGH_VOL
2408,2025-01-20 16:00:00+00:00,LOW,BULLISH,103047.5,100423.7,103579.18,50.09744119096599,False,103579.18,105617.78,3.584,3.406,1.968,CORRECT,HIGH_VOL
2412,2025-01-21 08:00:00+00:00,LOW,BULLISH,103292.7,101609.81,103651.97,47.489093781982625,False,103651.97,104625.04,3.511,0.93,0.939,CORRECT,HIGH_VOL
2415,2025-01-21 20:00:00+00:00,HIGH,BEARISH,106314.44,107227.32,106159.26,52.61337746282373,False,106159.26,102656.27,4.377,0.256,3.3,CORRECT,HIGH_VOL
2425,2025-01-23 12:00:00+00:00,HIGH,BEARISH,105588.29,106086.92,105299.93,61.381624293897204,False,105299.93,104850.27,2.887,1.804,0.427,CORRECT,TRENDING_UP
2425,2025-01-23 12:00:00+00:00,LOW,BULLISH,103100.0,101257.16,105299.93,61.381624293897204,False,105299.93,104850.27,1.804,2.887,-0.427,WRONG,TRENDING_UP
2426,2025-01-23 16:00:00+00:00,HIGH,BEARISH,104823.5,106870.87,103807.02,50.52242150199974,False,103807.02,105165.9,1.49,3.269,-1.309,WRONG,RANGING
2427,2025-01-23 20:00:00+00:00,LOW,BULLISH,103317.77,102260.0,103926.36,50.24318476146073,False,103926.36,104363.34,3.15,1.13,0.42,CORRECT,RANGING
2432,2025-01-24 16:00:00+00:00,HIGH,BEARISH,106870.87,107200.0,105793.67,53.09382826368667,False,105793.67,105046.11,1.597,0.006,0.707,CORRECT,RANGING
2434,2025-01-25 00:00:00+00:00,LOW,BULLISH,104666.01,104349.38,105165.9,52.329140656221156,False,105165.9,104808.4,0.298,1.01,-0.34,WRONG,RANGING
2441,2025-01-26 04:00:00+00:00,HIGH,BEARISH,105294.0,105478.8,104974.62,59.45557343570712,False,104974.62,101109.94,6.916,0.258,3.682,CORRECT,RANGING
2456,2025-01-28 16:00:00+00:00,HIGH,BEARISH,102458.0,103112.73,102402.97,41.441389513324516,False,102402.97,105209.75,2.138,2.856,-2.741,WRONG,RANGING
2462,2025-01-29 16:00:00+00:00,HIGH,BEARISH,103770.85,103977.84,103592.05,69.75469172053127,False,103592.05,104327.36,0.716,2.792,-0.71,WRONG,RANGING
2464,2025-01-30 00:00:00+00:00,HIGH,BEARISH,105245.67,105327.37,105209.75,77.50539001110658,False,105209.75,104727.38,1.247,1.212,0.458,CORRECT,RANGING
2469,2025-01-30 20:00:00+00:00,HIGH,BEARISH,105600.0,105857.04,104742.64,61.482677614003535,False,104742.64,102147.0,3.09,1.286,2.478,CORRECT,RANGING
2472,2025-01-31 08:00:00+00:00,LOW,BULLISH,104632.59,103897.44,104727.38,68.30248010424398,False,104727.38,101650.27,1.301,3.177,-2.938,WRONG,RANGING
2474,2025-01-31 16:00:00+00:00,HIGH,BEARISH,102968.78,105600.0,102242.23,48.37919705829162,False,102242.23,99183.07,3.042,0.528,2.992,CORRECT,RANGING
2478,2025-02-01 08:00:00+00:00,LOW,BULLISH,101506.0,101400.0,102005.24,28.082496282688098,False,102005.24,98234.55,0.301,5.135,-3.697,WRONG,RANGING
2492,2025-02-03 16:00:00+00:00,LOW,BULLISH,101400.0,98114.46,102094.44,50.24243900158617,False,102094.44,98082.88,0.495,5.827,-3.929,WRONG,HIGH_VOL
2493,2025-02-03 20:00:00+00:00,HIGH,BEARISH,102312.1,102599.85,101460.2,48.40807036612036,False,101460.2,97913.59,5.238,0.347,3.496,CORRECT,HIGH_VOL
2500,2025-02-05 00:00:00+00:00,LOW,BULLISH,97902.85,97150.01,98082.88,49.60301776644034,False,98082.88,98921.72,1.17,1.959,0.855,CORRECT,HIGH_VOL
2506,2025-02-06 00:00:00+00:00,LOW,BULLISH,97310.05,96461.6,97370.59,24.703463122325815,False,97370.59,97775.03,1.86,1.741,0.415,CORRECT,TRENDING_DOWN
2511,2025-02-06 20:00:00+00:00,LOW,BULLISH,96145.76,95792.39,96564.62,35.381769403734154,False,96564.62,96214.84,3.802,0.983,-0.362,WRONG,TRENDING_DOWN
2515,2025-02-07 12:00:00+00:00,HIGH,BEARISH,99230.49,100235.79,98329.4,51.90850766368111,False,98329.4,96476.25,2.761,0.311,1.885,CORRECT,RANGING
2516,2025-02-07 16:00:00+00:00,HIGH,BEARISH,97898.33,98634.95,96907.19,44.346086780702116,False,96907.19,97341.43,1.333,0.449,-0.448,WRONG,TRENDING_DOWN
